FrogID,Treatment,Frog.Mass..grams.,SVL..millimeters.,week,its
39,prior exposure heat,9.18,51,3,237894.6602
39,prior exposure heat,9.18,51,4,43669.58949
39,prior exposure heat,9.18,51,5,515141.0863
39,prior exposure heat,9.18,51,6,194701.9066
39,prior exposure heat,9.18,51,7,10232.20287
39,prior exposure heat,9.18,51,8,91153.38176
39,prior exposure heat,9.18,51,9,975635.9943
39,prior exposure heat,9.18,51,10,66246.61683
39,prior exposure heat,9.18,51,11,493918.4219
39,prior exposure heat,9.18,51,12,90699.7196
39,prior exposure heat,9.18,51,13,54993.52243
40,prior exposure heat,7.41,51,0,0
40,prior exposure heat,7.41,51,1,7550.741228
40,prior exposure heat,7.41,51,2,439.489765
40,prior exposure heat,7.41,51,3,5834.026244
40,prior exposure heat,7.41,51,4,1653.020797
40,prior exposure heat,7.41,51,5,39371.81385
40,prior exposure heat,7.41,51,6,19320.72731
40,prior exposure heat,7.41,51,7,8618.332551
40,prior exposure heat,7.41,51,8,7426.22744
40,prior exposure heat,7.41,51,9,14447.91822
40,prior exposure heat,7.41,51,10,2041.974987
40,prior exposure heat,7.41,51,11,14790.96347
40,prior exposure heat,7.41,51,12,16774.74807
40,prior exposure heat,7.41,51,13,14898.61651
41,prior exposure heat,9.84,58,0,0
41,prior exposure heat,9.84,58,1,2342.91206
41,prior exposure heat,9.84,58,2,11375.07136
41,prior exposure heat,9.84,58,3,21386.02931
41,prior exposure heat,9.84,58,4,46656.20101
41,prior exposure heat,9.84,58,5,58354.60154
41,prior exposure heat,9.84,58,6,38506.38055
41,prior exposure heat,9.84,58,7,13265.40285
41,prior exposure heat,9.84,58,8,11981.30669
41,prior exposure heat,9.84,58,9,104661.021
41,prior exposure heat,9.84,58,10,516.6542698
41,prior exposure heat,9.84,58,11,8530.419619
41,prior exposure heat,9.84,58,12,13543.23471
41,prior exposure heat,9.84,58,13,5484.526063
42,prior exposure heat,7.09,49.5,0,0
42,prior exposure heat,7.09,49.5,1,1963.369601
42,prior exposure heat,7.09,49.5,2,6504.414655
42,prior exposure heat,7.09,49.5,3,20935.23739
42,prior exposure heat,7.09,49.5,4,2496.468248
42,prior exposure heat,7.09,49.5,5,10673.93845
42,prior exposure heat,7.09,49.5,6,12100.59562
42,prior exposure heat,7.09,49.5,7,3179.596678
42,prior exposure heat,7.09,49.5,8,1376.503623
42,prior exposure heat,7.09,49.5,9,2012.173155
42,prior exposure heat,7.09,49.5,10,2105.418467
42,prior exposure heat,7.09,49.5,11,1174.875786
42,prior exposure heat,7.09,49.5,12,0
42,prior exposure heat,7.09,49.5,13,484.9849647
43,prior exposure heat,3.66,39,0,0
43,prior exposure heat,3.66,39,1,1512.714621
43,prior exposure heat,3.66,39,2,9440.42554
43,prior exposure heat,3.66,39,3,2356.671108
43,prior exposure heat,3.66,39,4,3459.635554
43,prior exposure heat,3.66,39,5,5197.610168
43,prior exposure heat,3.66,39,6,6779.456901
43,prior exposure heat,3.66,39,7,3577.288873
43,prior exposure heat,3.66,39,8,7082.24617
43,prior exposure heat,3.66,39,9,2688.334805
43,prior exposure heat,3.66,39,10,295.6432938
43,prior exposure heat,3.66,39,11,1769.302299
43,prior exposure heat,3.66,39,12,42.35320467
43,prior exposure heat,3.66,39,13,1030.164397
44,prior exposure heat,7.74,50.5,0,0
44,prior exposure heat,7.74,50.5,1,0
44,prior exposure heat,7.74,50.5,2,5357.484564
44,prior exposure heat,7.74,50.5,3,23986.83362
44,prior exposure heat,7.74,50.5,4,19766.8451
44,prior exposure heat,7.74,50.5,5,16377.9883
44,prior exposure heat,7.74,50.5,6,6906.652144
44,prior exposure heat,7.74,50.5,7,1166.341891
44,prior exposure heat,7.74,50.5,8,491.6887759
44,prior exposure heat,7.74,50.5,9,827.2703665
44,prior exposure heat,7.74,50.5,10,779.49544
44,prior exposure heat,7.74,50.5,11,0
44,prior exposure heat,7.74,50.5,12,0
44,prior exposure heat,7.74,50.5,13,0
45,prior exposure heat,6.6,48,0,0
45,prior exposure heat,6.6,48,1,3893.616393
45,prior exposure heat,6.6,48,2,4495.016098
45,prior exposure heat,6.6,48,3,3003.372604
45,prior exposure heat,6.6,48,4,4400.251873
45,prior exposure heat,6.6,48,5,3201.827584
45,prior exposure heat,6.6,48,6,5441.037357
45,prior exposure heat,6.6,48,7,1830.58666
45,prior exposure heat,6.6,48,8,59.37057319
45,prior exposure heat,6.6,48,9,59.44345952
45,prior exposure heat,6.6,48,10,1241.781597
45,prior exposure heat,6.6,48,11,0
45,prior exposure heat,6.6,48,12,0
45,prior exposure heat,6.6,48,13,0
46,prior exposure heat,6,46,0,0
46,prior exposure heat,6,46,1,955.9995236
46,prior exposure heat,6,46,2,5118.150453
46,prior exposure heat,6,46,3,19408.53189
46,prior exposure heat,6,46,4,1082.720283
46,prior exposure heat,6,46,5,1047.046195
46,prior exposure heat,6,46,6,139.4525562
46,prior exposure heat,6,46,7,0
46,prior exposure heat,6,46,8,259.9728318
46,prior exposure heat,6,46,9,0
46,prior exposure heat,6,46,10,1686.645501
46,prior exposure heat,6,46,11,0
46,prior exposure heat,6,46,12,0
46,prior exposure heat,6,46,13,0
70,heat control,1.87,33,0,0
70,heat control,1.87,33,1,57495.83718
70,heat control,1.87,33,2,112810.3822
70,heat control,1.87,33,3,294401.4729
70,heat control,1.87,33,4,75763.47395
70,heat control,1.87,33,5,70396.26405
70,heat control,1.87,33,6,11011.67171
70,heat control,1.87,33,7,NA
70,heat control,1.87,33,8,NA
70,heat control,1.87,33,9,NA
70,heat control,1.87,33,10,NA
70,heat control,1.87,33,11,NA
70,heat control,1.87,33,12,NA
70,heat control,1.87,33,13,NA
71,heat control,1.8,33,0,0
71,heat control,1.8,33,1,0
71,heat control,1.8,33,2,284.9093617
71,heat control,1.8,33,3,94106.05197
71,heat control,1.8,33,4,28433.9007
71,heat control,1.8,33,5,128034.0629
71,heat control,1.8,33,6,45656.12594
71,heat control,1.8,33,7,34050.84992
71,heat control,1.8,33,8,444769.7025
71,heat control,1.8,33,9,NA
71,heat control,1.8,33,10,NA
71,heat control,1.8,33,11,NA
71,heat control,1.8,33,12,NA
71,heat control,1.8,33,13,NA
72,heat control,1.69,33,0,0
72,heat control,1.69,33,1,237.6210414
72,heat control,1.69,33,2,1135.621865
72,heat control,1.69,33,3,4172.528393
72,heat control,1.69,33,4,40460.76768
72,heat control,1.69,33,5,61643.86914
72,heat control,1.69,33,6,114361.2412
72,heat control,1.69,33,7,20522.89917
72,heat control,1.69,33,8,101314.0887
72,heat control,1.69,33,9,58367.78337
72,heat control,1.69,33,10,548195.603
72,heat control,1.69,33,11,232860.7398
72,heat control,1.69,33,12,360072.8184
72,heat control,1.69,33,13,NA
73,heat control,9.03,56.5,0,0
73,heat control,9.03,56.5,1,40355.10705
73,heat control,9.03,56.5,2,46543.95411
73,heat control,9.03,56.5,3,266376.3988
73,heat control,9.03,56.5,4,137887.7114
73,heat control,9.03,56.5,5,188399.7456
73,heat control,9.03,56.5,6,48708.66868
73,heat control,9.03,56.5,7,98205.69156
73,heat control,9.03,56.5,8,12805.83416
73,heat control,9.03,56.5,9,546834.8765
73,heat control,9.03,56.5,10,823030.6146
73,heat control,9.03,56.5,11,1580876.564
73,heat control,9.03,56.5,12,2411548.184
73,heat control,9.03,56.5,13,NA
74,heat control,4.78,47,0,0
74,heat control,4.78,47,1,20730.03566
74,heat control,4.78,47,2,558121.5057
74,heat control,4.78,47,3,229143.3343
74,heat control,4.78,47,4,46461.38057
74,heat control,4.78,47,5,198546.2958
74,heat control,4.78,47,6,976188.2463
74,heat control,4.78,47,7,220816.0198
74,heat control,4.78,47,8,945193.4749
74,heat control,4.78,47,9,NA
74,heat control,4.78,47,10,NA
74,heat control,4.78,47,11,NA
74,heat control,4.78,47,12,NA
74,heat control,4.78,47,13,NA
75,heat control,7.45,51,0,0
75,heat control,7.45,51,1,6148.763654
