IndividualID,Date,Experiment1,Experiment2,Experiment3,Phase,Phase2,DPI,Sex,Weight_with_bag,BdLoad_1_Capture,BdLoad,BsalLoad,Shedding_coded,Shedding,Crickets,Other,Death,Death_revised,Death_censor,Complete_Experiment1,DiedExp1,BdExposed
GP1,8/15/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,21,NA,2.21,2.76,1.75,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP2,8/15/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,21,NA,2.08,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,no
GP23,8/15/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,21,NA,2.5,7.4,72.55365588,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP24,8/15/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,21,NA,2.32,184.1006118,299.56,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,yes
SD2,8/15/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,21,NA,2.49,52.32,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS1,8/23/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,29,NA,2.36,196.63,0,0,yes,dark_fingertips,NA,reddening,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS10,8/23/16,Bd_Bsal,None,None,3_Experiment1,3_Experiment1,29,NA,2.29,379.04,0,61.65917737,yes,shedding_head,yes,reddening,NA,,0,completed_coinfectionexp1,DiedExp1,yes
FS11,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.17,2261.44,0,0,yes,shedding,yes,reddening,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS12,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.32,27.8,0,0,yes,shedding,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,yes
FS13,8/23/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,29,NA,1.6,293.45,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS14,8/23/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.55,0,0,0,notvisible,NA,yes,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
FS15,8/23/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,2.45,2763.1,0,0,notvisible,NA,yes,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP10,8/15/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,21,NA,2.06,0,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,no
FS17,8/23/16,Bd_Bsal,None,None,3_Experiment1,3_Experiment1,29,NA,2.45,2071.6,0,0,notvisible,NA,yes,NA,NA,,0,No,NA,yes
FS19,8/23/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,29,NA,1.89,9147.3,0,0,notvisible,NA,NA,very_green,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS2,8/23/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,29,NA,2.06,168.62,0,0,notvisible,NA,yes,dark_hands,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS3,8/23/16,Bd_ONLY,ALKL1,None,3_Experiment1,3_Experiment1,29,NA,2.88,0,0,0,yes,shedding,yes,NA,NA,,0,No,NA,no
FS4,8/23/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,29,NA,3.12,0,0,0,yes,shedding_,NA,big,NA,,0,No,NA,no
GP10,8/23/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,1.95,0,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,no
GP10,8/30/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,36,NA,1.97,0,0,0,yes,darkening_hand/feet,NA,NA,NA,dead,0,No,NA,no
FS8,8/23/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,2.17,0,0,0,yes,shedding,NA,also_shed_tapeworm,NA,alive,0,No,NA,no
FS9,8/23/16,Bd_Bsal,ALKL1,None,3_Experiment1,3_Experiment1,29,NA,3.16,130.8,0,0,yes,shedding,NA,NA,NA,,0,No,NA,yes
GP1,8/23/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,29,NA,2.11,2.76,0,0,notvisible,NA,yes,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP10,9/5/2016,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,41,NA,1.75,0,0,0,yes,dark_hands,NA,NA,NA,dead,0,No,NA,no
GP11,8/23/16,Bd_Bsal,None,None,3_Experiment1,3_Experiment1,29,NA,2.41,0,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,no
GP12,8/23/16,Bd_Bsal,None,None,3_Experiment1,3_Experiment1,29,NA,1.98,6.42,0,8949.107508,notvisible,NA,NA,reddening,NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP13,8/23/16,Bd_Bsal,None,None,3_Experiment1,3_Experiment1,29,NA,1.69,78.35,0,7324.66142,yes,shedding_dark_hands/feet,NA,slow,NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP14,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.13,18.71,0,0,notvisible,NA,NA,reddening,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP15,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.47,23.2,0,0,yes,dark_fingertips,yes,reddening,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP16,8/23/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.43,13.5,0,158.3039218,notvisible,NA,yes,pink,NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP17,8/23/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.19,56.7,0,0,notvisible,NA,NA,reddening,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP18,8/23/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,2.39,75.1,0,0,yes,shedding_dark_hands/feet,NA,NA,NA,alive,0,completed_coinfectionexp1,SurvivedExp1,yes
GP19,8/23/16,Bd_Bsal,None,None,3_Experiment1,3_Experiment1,29,NA,1.84,0,0,816.6038742,notvisible,NA,yes,NA,NA,,0,completed_coinfectionexp1,DiedExp1,no
GP2,8/23/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,29,NA,2.06,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,no
GP20,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.4,3.91,0,0,yes,dark_fingertips,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP21,8/23/16,Bsal_BdLater,ALKL1,None,3_Experiment1,3_Experiment1,29,NA,2.03,0,0,0,yes,darkening_hands,NA,NA,NA,,0,No,NA,no
GP22,8/23/16,Bd_ONLY,ALKL1,None,3_Experiment1,3_Experiment1,29,NA,2.23,0,0,0,yes,dark_hands,yes,NA,NA,,0,No,NA,no
GP23,8/23/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,29,NA,2.7,7.4,199.879469,0,notvisible,NA,one,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP24,8/23/16,CONTROL_noitraconazole,control,CONTROL_noitraconazole,3_Experiment1,3_Experiment1,29,NA,2.36,184.1006118,360.9704201,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP25,8/23/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,2.37,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
GP10,9/12/2016,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,48,NA,2.04,0,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,no
GP27,8/23/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,29,NA,1.71,20.53,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
FS20,8/19/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,29,NA,NA,15.5,0,0,yes,lots_,NA,NA,Euthanized_8/19/16,,0,No,NA,yes
GP28,8/23/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,1.74,86.2,0,0,yes,dark_hands/feet,yes,NA,NA,,0,No,NA,yes
GP29,8/23/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,29,NA,1.89,0,0,0,yes,complete_skin_shed,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
GP3,8/23/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,29,NA,2.33,9.6,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP30,8/23/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,1.87,6.5,0,0,notvisible,NA,yes,NA,NA,,0,No,NA,yes
GP32,8/23/16,Bd_Bsal,None,None,3_Experiment1,3_Experiment1,29,NA,2.02,0,0,44.86802834,yes,dark_hands/feet,NA,reddening,NA,,0,No,NA,no
GP10,9/19/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,55,NA,1.69,0,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,no
GP34,8/23/16,Bd_Bsal,None,None,3_Experiment1,3_Experiment1,29,NA,1.79,6.8,0,113.2939201,yes,dark_fingertips,NA,thin,NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP35,8/23/16,Bd_Bsal,None,None,3_Experiment1,3_Experiment1,29,NA,1.79,12.97797083,0,16053.09549,yes,dark_tip_tail,NA,ulcers_snout,NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP36,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.26,15.5,0,0,yes,dark_fingertips,yes,NA,NA,,0,No,NA,yes
GP37,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.1,0,0,0,notvisible,NA,yes,NA,NA,,0,No,NA,no
GP38,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.43,0,0,4188.300593,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,no
GP39,8/23/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.02,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
GP4,8/23/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,2.41,12.2,0,0,yes,shedding_neck,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP40,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,1.79,12.24,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,yes
GP41,8/23/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,29,NA,1.78,30.3,0,740.2787736,yes,shedding,NA,NA,NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP10,9/29/16,Bsal_ONLY,None,None,3_Experiment1,3_Experiment1,67,NA,NA,0,0,0,notvisible,NA,NA,NA,Euthanized_9/29/16,dead,0,No,NA,no
GP42,8/23/16,Bsal_BdLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.09,2.83,0,29498.22418,yes,shedding_lots,NA,"skin_doesnêt_look_good,_very_red",NA,,0,completed_coinfectionexp1,DiedExp1,yes
GP5,8/23/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,2.62,85.8,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,yes
GP26,16-Jun,Bsal_ONLY,None,None,1_Capture,1_Capture,0,NA,NA,0,0,0,notvisible,NA,NA,NA,NA,dead,0,No,NA,no
GP7,8/23/16,CONTROL_negative,control,CONTROL_negative,3_Experiment1,3_Experiment1,29,NA,2.69,0,0,0,notvisible,NA,NA,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
GP8,8/23/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,2.11,0,0,0,notvisible,NA,NA,NA,NA,,0,No,NA,no
GP9,8/23/16,Bd_BsalLater,None,None,3_Experiment1,3_Experiment1,29,NA,2.08,0,0,0,notvisible,NA,one,NA,NA,,0,completed_coinfectionexp1,SurvivedExp1,no
SD1,8/23/16,Bd_ONLY,None,None,3_Experiment1,3_Experiment1,29,NA,1.65,0,0,0,notvisible,NA,yes,NA,NA,,0,No,NA,no
