input_name,accepted_name,source
Allophryne relicta,Allophryne relicta,AmphibiaWeb
Allophryne resplendens,Allophryne resplendens,AmphibiaWeb
Allophryne ruthveni,Allophryne ruthveni,AmphibiaWeb
Alsodes australis,Alsodes australis,AmphibiaWeb
Alsodes barrioi,Alsodes barrioi,AmphibiaWeb
Alsodes cantillanensis,Alsodes cantillanensis,AmphibiaWeb
Alsodes coppingeri,Alsodes coppingeri,AmphibiaWeb
Alsodes gargola,Alsodes gargola,AmphibiaWeb
Alsodes hugoi,Alsodes hugoi,AmphibiaWeb
Alsodes igneus,Alsodes igneus,AmphibiaWeb
Alsodes kaweshkari,Alsodes kaweshkari,AmphibiaWeb
Alsodes laevis,Telmatobius laevis,AmphibiaWeb
Alsodes montanus,Alsodes montanus,AmphibiaWeb
Alsodes monticola,Alsodes monticola,AmphibiaWeb
Alsodes neuquensis,Alsodes neuquensis,AmphibiaWeb
Alsodes nodosus,Alsodes nodosus,AmphibiaWeb
Alsodes norae,Alsodes norae,AmphibiaWeb
Alsodes pehuenche,Alsodes pehuenche,AmphibiaWeb
Alsodes tumultuosus,Alsodes tumultuosus,AmphibiaWeb
Alsodes valdiviensis,Alsodes valdiviensis,AmphibiaWeb
Alsodes vanzolinii,Alsodes vanzolinii,AmphibiaWeb
Alsodes verrucosus,Alsodes verrucosus,AmphibiaWeb
Alsodes vittatus,Alsodes vittatus,AmphibiaWeb
Altiphrynoides malcolmi,Altiphrynoides malcolmi,AmphibiaWeb
Altiphrynoides osgoodi,Altiphrynoides osgoodi,AmphibiaWeb
Alytes almogavarii,Alytes almogavarii,AmphibiaWeb
Alytes cisternasii,Alytes cisternasii,AmphibiaWeb
Alytes dickhilleni,Alytes dickhilleni,AmphibiaWeb
Alytes maurus,Alytes maurus,AmphibiaWeb
Alytes muletensis,Alytes muletensis,AmphibiaWeb
Alytes obstetricans,Alytes obstetricans,AmphibiaWeb
Amazophrynella amazonicola,Amazophrynella amazonicola,AmphibiaWeb
Amazophrynella bilinguis,Amazophrynella bilinguis,AmphibiaWeb
Amazophrynella bokermanni,Amazophrynella bokermanni,AmphibiaWeb
Amazophrynella gardai,Amazophrynella gardai,AmphibiaWeb
Amazophrynella javierbustamantei,Amazophrynella javierbustamantei,AmphibiaWeb
Amazophrynella manaos,Amazophrynella manaos,AmphibiaWeb
Amazophrynella matses,Amazophrynella matses,AmphibiaWeb
